Date,Open,High,Low,Close,Adj Close,Volume
2019-07-25,3120.000000,3290.000000,3010.000000,3250.000000,3121.116943,27474800
2019-07-26,3280.000000,3300.000000,3120.000000,3170.000000,3044.289551,14060600
2019-07-29,3180.000000,3340.000000,3170.000000,3270.000000,3140.323975,9457500
2019-07-30,3290.000000,3420.000000,3220.000000,3300.000000,3169.134277,47197900
2019-07-31,3360.000000,3360.000000,3220.000000,3230.000000,3101.910400,14222200
2019-08-01,3230.000000,3360.000000,3180.000000,3280.000000,3149.927490,17978100
2019-08-02,3280.000000,3280.000000,3230.000000,3260.000000,3130.720459,10374400
2019-08-05,3220.000000,3380.000000,3050.000000,3130.000000,3005.875732,19561200
2019-08-06,3090.000000,3240.000000,3080.000000,3140.000000,3015.479248,17576600
2019-08-07,3170.000000,3310.000000,3170.000000,3300.000000,3169.134277,11495800
2019-08-08,3320.000000,3350.000000,3280.000000,3350.000000,3217.151611,17136900
2019-08-09,3390.000000,3410.000000,3260.000000,3310.000000,3178.737793,6504300
2019-08-12,3310.000000,3400.000000,3270.000000,3360.000000,3226.754883,8831500
2019-08-13,3360.000000,3450.000000,3300.000000,3340.000000,3207.548096,13759200
2019-08-14,3400.000000,3400.000000,3300.000000,3360.000000,3226.754883,8527800
2019-08-15,3360.000000,3360.000000,3280.000000,3320.000000,3188.341064,11339100
2019-08-16,3300.000000,3310.000000,3180.000000,3250.000000,3121.116943,13561000
2019-08-19,3250.000000,3280.000000,3210.000000,3250.000000,3121.116943,12462100
2019-08-20,3250.000000,3310.000000,3230.000000,3250.000000,3121.116943,10764600
2019-08-21,3250.000000,3270.000000,3210.000000,3270.000000,3140.323975,12651500
2019-08-22,3290.000000,3370.000000,3280.000000,3350.000000,3217.151611,14523300
2019-08-23,3380.000000,3380.000000,3250.000000,3330.000000,3197.944580,6255300
2019-08-26,3300.000000,3340.000000,3210.000000,3320.000000,3188.341064,7539300
2019-08-27,3280.000000,3400.000000,3270.000000,3380.000000,3245.961914,11016600
2019-08-28,3380.000000,3400.000000,3290.000000,3330.000000,3197.944580,7011500
2019-08-29,3300.000000,3400.000000,3300.000000,3390.000000,3255.565186,7206800
2019-08-30,3400.000000,3540.000000,3390.000000,3480.000000,3341.996094,16924800
2019-09-02,3500.000000,3650.000000,3480.000000,3620.000000,3476.444336,18483100
2019-09-03,3620.000000,3660.000000,3480.000000,3500.000000,3361.203125,8704600
2019-09-04,3500.000000,3550.000000,3460.000000,3500.000000,3361.203125,13015700
2019-09-05,3530.000000,3560.000000,3480.000000,3520.000000,3380.409912,8878100
